founder,location,UG degree,UG school,g year,G degree,G school,g year.1,prof summary,early career,mid career,late career,key achievements,selected company,motivation,vision/mission,personal input,sources
Vadim Polikov,"Fulton, Maryland, United States",BSE in Biomedical Engineering,Duke University,"2,003",PhD,Duke University,"2,009","Vadim Polikov is a serial entrepreneur and CEO of Legends of Learning, known for founding, growing, and exiting several successful businesses in the educational technology and clean energy sectors. He has a strong academic background in engineering from Duke University, and he leverages his expertise to create innovative solutions for learning and renewable energy.","Vadim started his entrepreneurial journey by founding American Journal Experts in 2004, a company that assists researchers in getting their academic papers published in leading journals. This venture laid the foundation for his interest in using business to solve specific needs in academia and research publishing.","In 2008, Vadim exited American Journal Experts and transitioned into the renewable energy sector by founding Astrum Solar, a venture-backed company specializing in residential solar installations. He successfully led the company through rapid growth and strategic acquisition by Direct Energy in 2014, achieving a $54 million sale.","Currently, Vadim is the CEO of Legends of Learning, which he co-founded in 2016. The company aims to transform educational experiences through game-based learning. Under his leadership, Legends of Learning has grown significantly, gaining over a million monthly active users and becoming recognized for its impact on student engagement and performance amidst changing educational landscapes.","1. Successfully founded and exited American Journal Experts in 2008.
2. Grew Astrum Solar from startup to acquisition for $54 million in 2014.
3. Launched Legends of Learning, which now serves over a million monthly active users and received an $8 million grant for educational research.",Legends of Learning,"Vadim’s motivation stems from a desire to innovate and solve pressing societal challenges through entrepreneurship, particularly in education and renewable energy sectors. His immigrant background also fosters a relentless drive to contribute positively to society and make quality education accessible.","Vadim's vision is to enhance the learning experience for students through innovative, engaging educational tools that leverage human nature's instinct for play and experience. He believes that by fostering interactive learning environments, he can accelerate the academic growth of children worldwide.","""You just needed to do something different than what other people were doing. Solve a need that was out in the marketplace."" This reflects Vadim's core belief in innovation through understanding and addressing market needs rather than solely relying on patented products.","https://www.smartbusinessrevolution.com/vadim-polikov-from-immigrant-to-founding-and-exiting-multiple-businesses/, https://jmoreliving.com/2020/03/31/educational-platform-helps-parents-turn-kids-into-better-students/, https://www.wested.org/, https://www.legendsoflearning.com/"
Michael Pollack,"San Diego, California, United States",BS in Electrical Engineering,Purdue University,"1,994",PhD,Duke University,"2,001","Michael Pollack is a health-care data analyst and Marine Corps veteran, currently running for the Kern County Board of Education. With a focus on progressive education aims including inclusive curricula and enhancing professional development opportunities for teachers, he is dedicated to fostering supportive learning environments.","After graduating from North Bakersfield High School and earning an associate degree from Bakersfield Junior College, Pollack served in the U.S. Marine Corps Reserve from 1992 to 2000. His military service contributed to his development in leadership and problem-solving skills, which he later utilized in various professional roles.","Pollack transitioned into a career as a healthcare data analyst, where he focused on modernizing systems and improving data collection methods. He applied his analytical skills to optimize processes and enhance operational efficiencies within healthcare settings.","As a candidate for the Kern County Board of Education, Pollack leverages his extensive background in data analysis and community leadership to influence educational policy decisions. He advocates for inclusivity in the curriculum and supports educators' autonomy, aiming to make education more effective and equitable.","Pollack has received endorsements from various progressive organizations, including the California Working Families Party and the California Teachers Association. He has successfully advocated for top issues like inclusive curriculum development and enhanced social-emotional learning in schools.",Advanced Liquid Logic (ALL),"Pollack is motivated by a commitment to equity in education, believing that every student deserves access to high-quality learning opportunities regardless of their background. His experiences as a veteran and data analyst drive his desire to empower educators and create inclusive environments for students.","Michael Pollack envisions an educational system that is fair and supportive, where every child has the resources necessary to succeed. He aims to contribute to policies that ensure equal opportunities for all students and promote a learning environment free of unnecessary barriers.","""Creating a more supportive, equitable educational system is my goal. I believe that if every child is given the right tools, they can achieve greatness, regardless of their circumstances.""","https://ballotpedia.org/Michael_Pollack, https://couragecalifornia.org, https://michaelpollack2024.com"
Dan Pollard,"Chapel Hill, North Carolina, United States","BSE in Biomedical Engineering, Electrical Engineering",Duke University,"1,992",MBA/PhD,Duke University,"1,994","Dan Pollard is the Founder and Chief Executive Officer of myDrugCosts, leveraging his extensive experience in the Software & Internet field to address challenges related to drug pricing and accessibility. With a PhD from Duke University, he combines technical expertise with a strong focus on enhancing healthcare outcomes through innovative technologies.","Dan Pollard began his career in the early 2000s, serving as VP of Marketing at Mdeverywhere. This role allowed him to gain valuable experience in the healthcare technology sector, where he developed skills in marketing and product management that would inform his future endeavors.","During his mid-career, Dan transitioned to various leadership roles, including Director of Product Management at Misys Healthcare Systems and Director of Clinical Strategy at Allscripts. These positions enabled him to deepen his understanding of healthcare systems and product development, setting the stage for his entrepreneurial ventures.","Since founding myDrugCosts in 2010, Dan Pollard has focused on creating solutions that help consumers navigate drug pricing. His leadership has brought attention to the importance of transparency in medication costs, positioning myDrugCosts as a crucial player in the healthcare technology landscape.","Founded myDrugCosts, significantly improving transparency in drug pricing; held leadership roles in key healthcare technology companies; earned multiple degrees from Duke University, establishing a strong academic foundation in Medical Informatics and Biomedical Engineering.",myDrugCosts,"Dan is motivated by a desire to make healthcare more accessible and affordable, recognizing the challenges consumers face in understanding drug costs. His work aims to empower patients through accurate information.","His vision centers on transforming the drug pricing landscape, advocating for the use of technology to enhance accessibility and affordability in healthcare, ultimately improving patient outcomes.","""I believe that technology can bridge the gap in healthcare access and empower patients to make informed decisions about their medications.""","http://www.mydrugcosts.com, https://www.linkedin.com/in/dan-pollard-9b7b48/, http://www.adapt.io, http://www.duke.edu"
JB Pritzker,Greater Chicago Area,"BA in Political Science, Government",Duke University,"1,987",JD,Northwestern,"1,993","J.B. Pritzker is the 43rd governor of Illinois, having taken office on January 14, 2019. A member of the prominent Pritzker family, he is known for his commitment to progressive policies, including job creation, enhancing early childhood education, and expanding access to healthcare. Under his leadership, Illinois has made significant investments in infrastructure and social services, and he has been a strong advocate for equity and inclusion.","Pritzker's early career included serving on legislative staffs for prominent politicians such as U.S. Representative Tom Lantos and U.S. Senators Terry Sanford and Alan J. Dixon. He founded Democratic Leadership for the 21st Century, which aimed to engage younger voters and participated in various political campaigns, including serving as a national co-chairman for Hillary Clinton's 2008 campaign.","Before his governorship, Pritzker had a successful business career, founding the non-profit business incubator 1871 in Chicago, which helped launch over 1,000 startups and create thousands of jobs. His business ventures were focused on venture capital investment and operational management, marking him as a key figure in Chicago’s innovation ecosystem.","Since becoming governor, Pritzker has focused on stabilizing Illinois' budget, expanding the economy through investments in infrastructure, and spearheading major legislation on social issues, including the legalization of recreational cannabis and the extension of healthcare policies to improve accessibility for residents. He was re-elected in November 2022, continuing his push for progressive reforms.","Key achievements include overseeing a balanced budget for Illinois with bipartisan support, large-scale investments in state infrastructure through Rebuild Illinois, legalization of adult-use recreational cannabis, and significant advancements in education and economic opportunities for families in the state.","1,871","Motivated by a commitment to public service and the belief in equitable access to opportunities, Pritzker's work has been driven by personal experiences as part of a family with immigrant roots and a deep-seated desire to protect and uplift working families.","Pritzker's vision includes fostering a more inclusive Illinois where every resident has access to quality education, healthcare, and economic opportunities. He believes in the importance of addressing systemic inequities and supporting vulnerable populations in society.","""Don't be afraid to take risks and take advantage of lucky breaks. Learn from failure; it is a chance to make a choice about who you are.""","https://polisci.duke.edu, https://en.wikipedia.org/wiki/J._B._Pritzker"
Erik Rannala,"Austin, Texas Metropolitan Area",BS,University of Deleware,,MBA,Duke University,,"Erik Rannala is a seasoned venture capitalist and entrepreneur with extensive experience in product strategy and development across major technology firms. As the Co-Founder and Managing Partner of Mucker Capital, he specializes in early-stage investing, particularly in the tech sector. His background includes significant roles at TripAdvisor, eBay, and Harrison Metal Capital, establishing him as a leader in the venture capital space.","Erik began his career as a software developer at Accenture, where he was part of the first practice group dedicated to Internet strategy and development. He later took on leadership roles at MVP.com and served at the Domestic Policy Council in the White House, gaining valuable experience in both technology and policy.","During his mid-career, Erik worked as a Group Manager at eBay, where he led the premium features business, driving it to over $400 million in revenue. This period also included his role as Vice President of Global Product Strategy at TripAdvisor, where he was integral in shaping the platform’s product offerings.","In 2011, Erik co-founded Mucker Capital, where he has established himself as a prominent figure in seed-stage investing, focusing on innovative companies across various sectors. His leadership at Mucker has emphasized finding unique insights that lead to transformative industry changes.","- Successfully led eBay's premium features business to significant revenue growth.
- Played a pivotal role in product strategy and development at TripAdvisor.
- Co-founded one of the influential micro-VC firms, Mucker Capital, helping to seed numerous successful startups.",MuckerLab,Erik is driven by a passion for innovation and the desire to empower founders with unique insights that can create entirely new industries. His experience in early-stage investing fuels his motivation to support transformative ideas and teams.,To identify and invest in pioneering entrepreneurs that challenge the status quo and drive industry transformation through unique and innovative approaches.,"I believe the key to successful investing lies in identifying founders who possess a truly unique insight, as they are the ones who can fundamentally change their industries.","https://muckercapital.com, https://www.linkedin.com/in/erikrannala, https://www.forbes.com/companies/mucker-capital"
Joanna Rees,"San Francisco, California, United States",BS in Psychology,Duke University,"1,983",MBA,Columbia University,"1,990","Joanna Rees is a seasoned investor and entrepreneur based in San Francisco, California, serving as the Managing Partner at West. With a strong foundation in marketing and branding, she excels in guiding companies from concept to successful product-market fit, particularly in the innovation economy. Joanna has a remarkable track record across various industries, demonstrating a commitment to purpose-driven companies and impactful initiatives.","Joanna began her career with Groupe Danone, where she held various marketing roles before returning to business school. After earning her MBA from Columbia University, she took over a family-owned hotel business in Montclair, New Jersey, rehabilitating it for sale. She then relocated to San Francisco, opening a restaurant and transitioning into investment banking with BA Securities and Vrolyk & Co.","In 1996, Joanna founded Venture Strategy Partners (VSP), a venture capital firm that provided pivotal marketing and financing support to emerging tech companies. Under her leadership, VSP successfully backed numerous startups, including AllBusiness.com and Danger Inc. This period also included her involvement with the National Venture Capital Association and various educational initiatives.","Joanna currently serves as Managing Partner at West, where she focuses on scaling and market creation for socially conscious companies. She holds multiple board memberships, including FICO and The Representation Project, and has been active in impactful investing through Endeavor Catalyst. Joanna's recent efforts also include a run for Mayor of San Francisco in 2011, showcasing her commitment to civic leadership.","- Founded VSP Capital, facilitating significant investments in over 60 companies.  
- Led the formation of Endeavor Catalyst, supporting entrepreneurs in emerging markets.  
- Recognized as a Global Leader for Tomorrow by the World Economic Forum.  
- Co-chair of The Representation Project, influencing cultural narratives around media and representation.",West Ventures,"Joanna is driven by a desire to innovate, do better, and create impactful change in the business ecosystem. She seeks to empower companies that embody strong missions and values, ensuring their offerings genuinely contribute to their markets and communities.","Her vision centers on transforming the business landscape by leveraging entrepreneurship to drive social change, particularly through responsible, transparent practices in both for-profit and nonprofit sectors.","Joanna believes that 'the best way to change the future is to create it,' a guiding principle that fuels her entrepreneurial and investment endeavors.","https://en.wikipedia.org/wiki/Joanna_Rees, https://www.theorg.com/org/west/org-chart/joanna-rees, https://www.therepresentationproject.org/about/board/joanna-rees/"
Matt Rising,"Los Angeles, California, United States",BA in History,Duke University,"2,007",JD,UCLA,"2,013","Matthew Rising is a recognized entrepreneur and attorney based in Los Angeles, California, with a strong focus on clean energy solutions through his role as CRO and Co-Founder of Swell Energy. His career spans significant experience in corporate law and public policy, reflecting a commitment to innovative approaches to energy consumption and environmental sustainability.","Matthew Rising began his career in the White House Domestic Policy Council, where he gained insights into national policy-making. Following this role, he worked as a corporate attorney at RK Adler, where he specialized in advising entrepreneurs and start-ups, focusing on emerging companies across various industries.","In the mid-stages of his career, Matt co-founded Swell Energy, where he played a pivotal role in developing a clean energy platform that provides consumers with sustainable energy solutions. His work has centered around leveraging Distributed Energy Resources (DERs) and creating virtual power plants to enhance energy efficiency and sustainability for both consumers and utility companies.","Continuing his leadership at Swell Energy, Matt is now at the forefront of addressing the evolving challenges in the energy sector. He is dedicated to expanding the reach of clean energy technologies and advocating for policies that encourage the adoption of sustainable energy practices.","- Selected as part of CSQ's 2018 class of NextGen Leaders in Innovation & Technology.
- Recipient of UCLA Law’s 2016 'Excellence in Entrepreneurship' Award.
- Winner of the 2016 DukeGen Startup Showcase.",Swell Energy,Matt is driven by a passion for sustainability and innovation in the energy sector. His experiences in both legal and policy fields have ignited his commitment to creating solutions that make clean energy accessible and affordable for all consumers.,"Matt's mission is to revolutionize the energy sector by making clean energy solutions easily accessible to consumers, thereby promoting environmental sustainability and reducing reliance on traditional energy sources. He envisions a future powered by renewable energy technologies that enhance grid reliability and consumer empowerment.","""I believe that the future of energy lies in innovation and collaboration. By bridging technology with sustainability, we can empower consumers to take control of their energy needs.""","https://about.me/MattRising, https://www.swellenergy.com"
Carmichael Roberts,Greater Boston,BS in Chemistry,Duke University,"1,990",PhD,Duke University,"1,995","Carmichael Roberts, Jr. is a distinguished venture investor and entrepreneur specializing in materials innovation and climate technology. He is the co-founder and managing partner of Material Impact and a senior member of Breakthrough Energy Ventures, aiming to address global challenges through innovative solutions. His career encompasses significant contributions to both venture capital and biotechnology, underpinned by a strong academic background in organic chemistry and business management.","Carmichael Roberts began his career at GelTex Pharmaceuticals, focusing on business development before transitioning to roles in life sciences at Sentry Products and later co-founding several startups. His early career was marked by a commitment to utilizing material science for developing innovative medical technologies, leading to his involvement in the founding of companies like Arsenal Medical and 480 Biomedical.","In his mid-career, Roberts joined North Bridge Venture Partners as a general partner, where he focused on financing and building companies utilizing innovative chemistry and materials science. He established a unique business model of licensing technology from universities and developing partnerships with Fortune 500 companies, further evolving his work in venture capital and material startups.","Currently, Roberts continues to lead as the co-founder of Material Impact, where he emphasizes investing in companies that solve significant global issues, particularly those related to climate change. His recent role with Breakthrough Energy Ventures sees him co-leading investments in transformative energy technologies, reflecting his ongoing commitment to sustainability and innovation.","Roberts has received numerous accolades, including the Edison Achievement Award and being ranked #1 on the Boston Globe’s Tech Power Players 50 list. He has also made significant contributions as a board member for various organizations, including the Duke University Board of Trustees and the Consumer Technology Association.",Arsenal Medical,"Roberts is motivated by a passion for leveraging innovative technologies to address pressing global challenges, particularly climate-related issues. His work focuses on fostering a new generation of climate-tech startups capable of significant impact.",Carmichael Roberts' mission is to create and invest in resilient technologies that not only lead to the commercialization of cutting-edge materials but also significantly contribute to solving climate change and enhancing sustainability across industries.,"""There’s a method to my madness, where the things I tend to do have elements that are symbiotic with other stuff, including things that could be interesting to my family.""","https://materialimpact.com, https://breakthroughenergy.org, https://www.bostonglobe.com"
Jason Robins,"Boston, Massachusetts, United States","BS in Economics, Computer Science, Mathematics",Duke University,"2,003",,,,"Jason Robins is the Chairman and Chief Executive Officer of DraftKings, Inc., a leading company in the digital sports entertainment and gaming industry. He has successfully navigated significant legal challenges and transformed DraftKings into one of the most recognized brands in the sector, achieving a valuation in the billions.","Robins began his career at Capital One before being convinced to work at a Boston startup they acquired. He later worked at Vistaprint, where he honed his skills in web marketing, data analytics, and corporate accounting, while exploring the burgeoning field of online gaming and fantasy sports.","In 2012, Robins co-founded DraftKings alongside Paul Liberman and Matt Kalish, prompting a shift toward daily fantasy sports which allowed for increased engagement among users. He led the company through aggressive competition, most notably against FanDuel, and directed robust funding rounds to bolster DraftKings' position in the market.",Robins currently serves as the CEO and transitions the company toward a new phase focused on regulatory compliance and strategic expansion beyond fantasy sports into broader online gaming and betting markets. DraftKings went public in 2020 and continues to thrive under his leadership.,"Under Robins' leadership, DraftKings became the only vertically integrated pure-play sports betting and gaming company in the U.S., achieving a market valuation exceeding $15 billion. The company successfully navigated significant legal scrutiny and established a strong presence in the competitive fantasy sports market.",DraftKings,"Robins' passion for sports, combined with a keen interest in technology and entrepreneurship, has driven his career. His desire to disrupt the traditional fantasy sports model with powered, real-time gaming led him to co-found DraftKings.","Robins envisions DraftKings as a leader in the sports entertainment space, dedicated to creating the most trusted and customer-centric gambling experience, while championing responsible gaming practices.","Robins once expressed that his career goals were to 'get my MBA and get rich,' highlighting his focus on merging academic and entrepreneurial pursuits. His journey reflects a blend of calculated risks and a love for technology and sports.","MarketScreener, Boston Magazine, DraftKings Company Profile"
Tom Rose,"Brookline, Massachusetts, United States",BSE in Biomedical Engineering,Duke University,"2,005",MBA,MIT,"2,011","Tom Rose is a seasoned educator and entrepreneur with over a decade of experience in transforming the education landscape, particularly in technology and for-profit sectors. With a dual background in engineering and entrepreneurship, he has notably co-founded Testive and held pivotal roles at several respected organizations, including HubSpot and ManhattanPrep. His commitment to education and innovation is complemented by a passion for sustainable energy and community engagement.","Tom began his professional journey at Duke University as an NSF Teaching Fellow, where he embraced opportunities to enhance educational methodologies. He later became the Director of Duke Smart Home, developing sustainable living solutions and contributing to environmental education.","During his mid-career phase, Tom took on significant roles in the education sector, including Senior Instructor at ManhattanPrep and Education Tech Product Developer at HubSpot. His entrepreneurial spirit led him to co-found Matriculate Me, an initiative aimed at improving college access and success for underrepresented students.","In recent years, Tom has co-founded and served as CEO of Testive, an education technology company focused on improving academic test preparation. He continues to advocate for innovative educational solutions, mentorship, and community involvement, reflecting his commitment to lifelong learning.","Key achievements include co-founding Testive, significantly impacting test preparation approaches, contributing to various educational programs at Duke and MIT, and receiving recognition as an NSF Teaching Fellow. His leadership roles have involved innovative projects, including off-grid solar power initiatives and educational product development.",Testive,"Tom is motivated by a profound belief in the power of education to transform lives, a commitment to making learning accessible, and a desire to create sustainable solutions that enhance education and community engagement.","Tom's vision is to leverage technology and innovative approaches to create accessible, effective educational resources that empower learners of all backgrounds. His mission is to foster a culture of lifelong learning and sustainable practices in education.",Tom believes that 'education is not just about learning facts; it's about learning how to think critically and solve problems that matter.' His commitment to education drives everything he does.,"https://testive.com, https://linkedin.com/in/tomrose, https://hubspot.com"
Kerry Rupp,"Austin, Texas Metropolitan Area",BA in Biology,Duke University,"1,993",MBA,Harvard University,"1,999","Kerry Rupp is an accomplished American businesswoman and General Partner at True Wealth Ventures, an early-stage venture capital fund that invests in women-led startups focused on sustainable consumer and health sectors. With a diverse background in entrepreneurship, consulting, and seed-stage investing, Rupp has played a pivotal role in supporting women in the venture capital space and promoting sustainable business practices.","Kerry Rupp began her career in the tech sector, initially taking on roles in consulting at firms like McKinsey & Company and Andersen Consulting (now Accenture). She quickly transitioned to the business side of technology companies, gaining valuable experience in various positions over a decade after earning her MBA from Harvard Business School.","In 2010, Rupp became the CEO of DreamIt Ventures, one of the first startup accelerators in the U.S. During her five-year tenure, she led initiatives that launched over 150 companies and developed programming focused on diversity, such as DreamIt Access for minority entrepreneurs and DreamIt Athena for women entrepreneurs. This period solidified her reputation in the startup ecosystem and highlighted the need for increased support for women in venture capital.","Rupp joined True Wealth Ventures in 2015, where she serves as a General Partner. The firm focuses on investing in women-led companies improving human and environmental health. Rupp is actively involved as a mentor and educator, teaching courses for the National Science Foundation's Innovation Corps program and engaging in various roles to promote entrepreneurship among women.","- CEO of DreamIt Ventures, leading one of the top ten U.S. accelerators.
- Launched over 150 companies through DreamIt Ventures.
- Co-founder of True Wealth Ventures, focusing on women-led startups in health and sustainable sectors.
- Developed targeted programs such as DreamIt Access and DreamIt Athena to support underrepresented entrepreneurs.",True Wealth Ventures,"Rupp is motivated by her passion for promoting gender diversity in entrepreneurship and venture capital, recognizing the impact of diverse leadership on business success. She aims to close the funding gap for women-led startups, driven by data showing better financial returns with diverse leadership teams.","Kerry Rupp's mission is to empower women entrepreneurs by providing them with capital and resources to thrive in the startup ecosystem. Her vision includes creating a more equitable venture capital landscape that recognizes and invests in innovative women-led solutions, particularly in health and sustainability.","Rupp emphasizes the importance of experience in entrepreneurship for aspiring venture capitalists, stating, 'The more operating experience you have with patterns and problem-solving, the more useful you are as a venture capitalist.'","https://en.wikipedia.org/w/index.php?title=Kerry_Rupp_(businesswoman), https://truewealthvc.com/about/, https://www.familyofficeinsights.com, https://www.hbs.edu"
Eric Savage,"Bengaluru, Karnataka, India",BA in Economics,Duke University,"1,992",MPA/MC,Harvard University,"2,007","Eric Savage is the Co-Founder and CEO of Unitus Capital, a leading social investment bank in India. With over 20 years of experience in investment banking, he specializes in raising funds for socially impactful businesses across various sectors, including microfinance, healthcare, renewable energy, and education.","Eric began his career in investment banking with Citigroup and Salomon Brothers, where he worked for 14 years. During this time, he directed the Asia Power & Infrastructure Investment Banking Group and headed the utilities sector equity research, gaining recognition for his expertise in executing high-value transactions.","In 2007, Eric relocated to India to help establish Unitus Capital, aiming to accelerate capital markets for ventures that serve low-income populations. Under his leadership, Unitus Capital successfully raised over $1.4 billion for social enterprises and was recognized as the most active investment bank in India during 2013 and 2014.","Eric continues to lead Unitus Capital, expanding its reach and influence in impact investing. He serves on various advisory boards and actively participates in discussions around impact investing and entrepreneurship, establishing himself as a thought leader in the field.",Successfully raised over $1.4 billion for social ventures; Co-founded Unitus Capital and UC Inclusive Credit; Recognized as Indian Expat Entrepreneur of the Year in 2014; Played a pivotal role in Citigroup’s high-value transactions in Asia.,Unitus Capital,"Eric is driven by the desire to create social impact through financial mechanisms. He believes in the potential to achieve strong financial returns while addressing critical social challenges, which fuels his commitment to impact investing.","Eric's mission is to bridge the gap between capital markets and social entrepreneurs, facilitating access to funding for ventures that empower low-income communities across Asia.","Eric emphasizes the importance of perseverance, stating, 'We knew it was the right thing to do,' reflecting on the challenges of starting a social investment bank.","https://case.duke.edu, https://svpindia.in, https://impactinvestinginitiative.duke.edu, https://www.linkedin.com/in/eric-savage/"
Jim Scheinman,"Los Altos, California, United States",BS in Neurosicence,Duke University,"1,988",JD,UC Davis,"1,995","Jim Scheinman is a prominent Silicon Valley venture capitalist, founder of Maven Ventures, and recognized pioneer in consumer growth and technology investment. With over 18 years of experience, he is known for his expertise in identifying and nurturing hyper-growth consumer startups, with a notable reputation for being one of the earliest investors in Zoom. Jim possesses a deep passion for coaching and mentoring, combined with a successful track record of achieving six unicorn exits across various roles, including founder, executive, and investor.","Jim Scheinman's early career was marked by notable roles within high-growth startups such as NBCi, Bebo, and Tango. During these formative years, he developed critical skills in managing and scaling tech ventures, laying the groundwork for his future success as an investor and founder. His academic background, including a BSc in Neuropsychology and a JD from UC Davis, provided him with a unique perspective on consumer behavior.","In the mid-career phase, Jim transitioned into venture capital, founding Maven Ventures, where he focused on early-stage investments in consumer technology. Within this role, he leveraged his extensive experience with startups to foster new enterprises and guide them to achieve high valuations. His strategic foresight led to several successful exits, solidifying his status as a leading growth expert in the industry.","In his late career, Jim has cemented his reputation as a thought leader and mentor in the venture capital landscape. He continues to actively invest through Maven Ventures, supporting innovative consumer startups and sharing his insights through speaking engagements and workshops. His position allows him to shape the next generation of startup founders while further establishing Maven as a powerhouse in the venture capital community.","1. Early investor in Zoom, leading to its subsequent IPO. 2. Achieved six unicorn exits, including Bebo ($850M sale to AOL), Tango (over $1B valuation), and NBCi ($6B IPO). 3. Founder and Managing Partner of Maven Ventures, a successful micro-VC firm focusing on emerging consumer startups. 4. Engaged TED speaker and industry thought leader at startup conferences and events.",Maven Ventures,Jim's motivation stems from his passion for helping others reach their potential and achieve their life’s passions. His experiences as a coach for his children's sports teams and as a mentor at Maven highlight his commitment to fostering growth in others.,"Jim's vision is to empower bold founders with a vision worth fighting for, providing them with the necessary resources and mentorship to navigate the complex landscape of entrepreneurship. He aims to foster innovation in consumer technology by supporting startups that show hyper-growth potential.","""I believe in the power of mentorship and the importance of helping others identify and pursue their passions. Each startup is a unique journey, and I aim to provide guidance that helps founders succeed in achieving their vision.""","https://www.mavenventures.com/about-jim-scheinman, https://www.mavenventures.com/team, https://www.mavenventures.com/blog, https://www.mavenventures.com/investments"
Aaron Schumm,"New York, New York, United States",BS in Finance,University of Illinois Urbana-Champaign,"2,000",MBA,Duke University,"2,007","Aaron Schumm is the Founder and CEO of Vestwell, a leading fintech company revolutionizing workplace savings and investing solutions. With extensive experience in financial services and a strong commitment to expanding access to retirement and savings programs, he has garnered recognition as a top entrepreneur and thought leader in the industry.","Aaron began his career at Northern Trust where he gained foundational knowledge in financial services. He later moved to New York, aiming to pursue a career in asset management, but instead transitioned into the fintech sector. He co-founded FolioDynamix, a wealth management platform, which he envisioned while brainstorming ideas informally with colleagues. This experience solidified his focus on addressing retirement savings challenges.","Following the acquisition of FolioDynamix, Aaron dedicated a brief hiatus before founding Vestwell. He recognized the significant gap in retirement savings options for small businesses—a sector largely overlooked by traditional financial institutions. By creating a digital recordkeeping platform, Vestwell catered specifically to the needs of small businesses, enables them to offer competitive retirement plans, and streamlining the investment process.","As CEO of Vestwell, Aaron has steered the company to significant growth, enabling over 350,000 businesses and over a million active savers to engage with modern savings solutions. His leadership through innovation has led to the deployment of new financial products and strategic partnerships with major financial institutions, addressing critical issues within the savings landscape and aiming for broader economic inclusion.","Honored as one of Goldman Sachs' Most Exceptional Entrepreneurs of 2024. Named as a finalist for EY's Entrepreneur Of The Year® 2024 New York Award. Successfully secured substantial funding for Vestwell, growing it into a leading player in the fintech space focused on workplace savings, with $30 billion in assets saved under management.",Vestwell,"Aaron is motivated by a passion for closing the savings gap in America, ensuring that all communities, especially the underserved, have access to financial wellness solutions. He aims to innovate financial services to create pathways for financial security, particularly within low-income and disabled communities.","To reshape the savings industry by expanding access to retirement and savings programs for all people, particularly those previously excluded from traditional financial ecosystems. He envisions a future where everyone can achieve financial security through inclusive savings options.","""I am proud to lead a team of innovators at Vestwell working to fulfill our mission of closing the savings gap and helping to ensure that all communities have a pathway to financial security.""","https://www.vestwell.com/blog/aaron-schumm-founder-and-ceo-of-vestwell-powered-modern-day-workplace-savings, https://www.wealthmanagement.com/people/ten-watch-aaron-schumm-founder-vestwell, https://vestwell.com/news/ey-announces-aaron-schumm-entrepreneur-year-2024-new-york-award-finalist, https://vestwell.com/news/goldman-sachs-honors-aaron-schumm-entrepreneurship"
Jonathan Seeber,"Washington, District of Columbia University, United States","BA in History, Computer Science",Duke University,"1,998",MBA,Harvard University,"2,004","Jon Seeber is a seasoned General Partner at Updata Partners with over 20 years of experience as an operator and investor in the software industry. With a rich background that includes significant roles at IBM Global Services and military service as an officer in the U.S. Air Force, he combines technical acumen with leadership in venture capital.","Jon began his career as a developer, where he gained hands-on experience in software development. He then transitioned to the U.S. Air Force as an officer on active duty and later in the Reserves, which instilled in him leadership skills and a strong ethical framework. This period laid the foundation for his subsequent roles in business development.","Joining IBM Global Services' Business Development team marked a pivotal point in Jon's career. He managed critical acquisitions, divestitures, investments, and partnerships, driving growth for IBM's largest business unit. Notable transactions during his tenure included major acquisitions that significantly impacted the software landscape.","Jon has spent the last several years at Updata Partners, where he co-manages the firm and is deeply involved with the investment team, which he joined in 2006. His focus on software investments has helped foster growth in multiple tech companies and enhance their market presence.","1. Executed key acquisitions at IBM, including Internet Security Systems, Healthlink, and Corio. 2. Holds two U.S. patents in network optimization and network security. 3. Active board member of Washington Nationals Philanthropies, contributing to community enhancement through youth sports initiatives.",Updata Partners,"Jon's motivation stems from a passion for technology and software innovation, coupled with a desire to leverage his expertise for fostering growth in emerging companies. He is driven by the impact of his work on communities, particularly youth development through sports.","To harness the power of technology and investment to drive innovation in the software industry, while fostering community engagement and development through strategic philanthropic initiatives.","""My journey in technology and investment is rooted in a commitment to making a difference, both in the business world and the community at large. I believe in the potential of young people to lead meaningful change through the right support and opportunities.""","https://www.updatapartners.com/team/jon-seeber, https://www.linkedin.com/in/jonseeber, https://www.washingtonnationalphilanthropies.org/, https://www.duke.edu/, https://www.hbs.edu/"
